time,I1P.conc,PP1Sp.n,PP1_active.N,S.N,S1.N,Sp.N,ca.conc
137.0,0.00279999156645,9.0586622481e-06,-2.79315913144e-07,0.00688208058346,0.053745706273,19.9156173724,0.0001
138.0,0.00279995795505,-3.28769394414e-06,7.98622200145e-06,0.00697036398293,0.0535123858415,19.9156715926,0.0001
139.0,0.00280000336456,6.31528853691e-06,1.59866723168e-06,0.0070579675523,0.0532800872472,19.9157310338,0.0001
140.0,0.00279997777971,3.01258717038e-06,3.82755266341e-06,0.0071467711023,0.0530488060757,19.9157758721,0.0001
141.0,0.00279998366344,4.32977623238e-06,2.96943234108e-06,0.00723584227451,0.0528185379515,19.9158171556,0.0001
142.0,0.00279999108237,9.42451237488e-06,-4.09470682317e-07,0.00732502421536,0.0525892784794,19.9158596375,0.0001
143.0,0.0027999654893,-7.2653509607e-06,1.07558411705e-05,0.00741488883489,0.0523610233007,19.9159127689,0.0001
144.0,0.00279998993967,8.69519260908e-06,1.21331099406e-07,0.00750417179245,0.0521337680386,19.9159574609,0.0001
145.0,0.00279998367136,5.06186630032e-06,2.56986041725e-06,0.0075945801615,0.0519075083962,19.9159972776,0.0001
146.0,0.00279997640145,2.58924004737e-06,4.2494764947e-06,0.00768542002058,0.0516822400743,19.9160321521,0.0001
147.0,0.00279998433769,5.75693656006e-06,2.15289640491e-06,0.00777627660495,0.0514579587848,19.9160694949,0.0001
148.0,0.00279998975605,8.0209291826e-06,6.66502766308e-07,0.00786761276608,0.0512346602501,19.9161021975,0.0001
149.0,0.00279998006147,3.97990833489e-06,3.38877992756e-06,0.00795974095227,0.0510123402459,19.9161274885,0.0001
150.0,0.00279998233395,3.60063576619e-06,3.66534397924e-06,0.00805168093065,0.0507909945341,19.9161639664,0.0001
151.0,0.00279996674169,-4.28911193462e-06,8.95426781986e-06,0.00814418887979,0.0505706188784,19.9161998288,0.0001
152.0,0.0027999819503,3.68445767613e-06,3.6557380823e-06,0.00823658973016,0.0503512090841,19.9162303363,0.0001
153.0,0.00279996896827,2.43886752117e-06,4.51491127889e-06,0.00832979715902,0.0501327609831,19.9162551209,0.0001
154.0,0.00279998864796,6.02370443464e-06,2.14075781691e-06,0.00842327246182,0.0499152704334,19.9162764131,0.0001
155.0,0.0027999707542,1.74614956614e-06,5.02627923682e-06,0.0085172676055,0.0496987332866,19.9162993473,0.0001
156.0,0.00279995202761,-1.12903554446e-05,1.37464418553e-05,0.00861141021395,0.0494831454266,19.9163362824,0.0001
157.0,0.00279998568583,7.70478357431e-06,1.08658750172e-06,0.00870491051144,0.0492685026867,19.9163661206,0.0001
158.0,0.00279998342114,4.59919618193e-06,3.18602839359e-06,0.00879987210299,0.0490548010286,19.9163842091,0.0001
159.0,0.00279998366136,5.78008659999e-06,2.42073778626e-06,0.00889508148246,0.0488420363938,19.9163997647,0.0001
160.0,0.00279999154133,1.17830821784e-05,-1.55919476328e-06,0.00899015963137,0.048630204714,19.916422796,0.0001
161.0,0.00279997625339,7.52878023318e-06,1.31270828811e-06,0.00908597239582,0.0484193019602,19.9164432742,0.0001
162.0,0.0027999843651,4.63177610577e-06,3.2553788305e-06,0.00918205132331,0.0482093241085,19.9164630383,0.0001
163.0,0.00279997180074,4.98411317297e-06,3.05825330418e-06,0.00927854999371,0.0480002671674,19.9164757502,0.0001
164.0,0.00279997521866,4.89214100477e-06,3.13981336162e-06,0.0093753460615,0.0477921271647,19.9164890592,0.0001
165.0,0.00279998081166,3.67593470185e-06,3.9661668961e-06,0.00947254552512,0.0475849001349,19.9165006097,0.0001
